Ressourcengruppe;Bezeichnung;Frozen Zone;OptBereich;PlanKapProzent;Adressnummer;Standardkalender
;;?;;0;?;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Ressourcengruppe;Resource Group;M_RessGruppe.RessGruppe;CHARACTER;x(6);
2;Bezeichnung;Description;M_RessGruppeSpr.Bezeichnung;CHARACTER;x(30);
3;Frozen Zone;Frozen Zone;M_RessGruppe.FrozenZone;INTEGER;z9;
4;OptBereich;Server;M_RessGruppe.Server;CHARACTER;x(20);
5;PlanKapProzent;Planned Capacity in %;M_RessGruppe.PlanKapProzent;DECIMAL;-zz9.9%;
6;Adressnummer;Address Number;M_RessGruppe.AdressNr;INTEGER;zzzzzzz9;
7;Standardkalender;Calendar;M_RessGruppe.Kalender;CHARACTER;x(20);
